Front,Back,Tags
Q3: When is `__slots__` worth using?,"When you create <i>millions</i> of similarly shaped objects (events, graph nodes, ML feature rows). Memory savings can be 30-50%, plus faster attribute access. Cost: no <code>__dict__</code> (can't dynamically add attributes), trickier inheritance (must declare in every subclass or <code>__dict__</code> reappears), no <code>weakref</code> unless you also list <code>__weakref__</code> in slots.<br><br><i>Source: Memory Management &amp; Garbage Collection</i>",phase-1 memory garbage-collection fundamentals topic-memory-management diff-hard
Q4: Closures and memory — what's the gotcha?,"A closure captures the <i>enclosing scope's variables by reference</i>. If a local function is created inside <code>make_handler(big_data)</code>, the closure pins <code>big_data</code> in memory for as long as the function lives. Pull out only what you need before defining the inner function.<br><br><i>Source: Memory Management &amp; Garbage Collection</i>",phase-1 memory garbage-collection fundamentals topic-memory-management diff-hard
Q5: What does `gc.collect()` actually do?,"Triggers a full cycle-collection pass: walks objects in tracked containers, identifies cycles unreachable from the root, frees them. It does <i>not</i> affect refcount-managed objects (those are already freed). Forcing it is rarely useful — let the GC trigger naturally; reach for it only when you know you've broken a big cycle and want immediate cleanup.<br><br><i>Source: Memory Management &amp; Garbage Collection</i>",phase-1 memory garbage-collection fundamentals topic-memory-management diff-hard
Q6: Why does my Python process not give memory back to the OS?,"<code>pymalloc</code> batches small allocations into arenas. An arena returns to the OS only when <i>all</i> its pools are free. Fragmentation can leave a few used objects scattered across many arenas, pinning them. The Python <i>process</i> may show high RSS even though the heap has lots of free pools. Often nothing to do — restart cycles, or use a process manager that recycles workers periodically (gunicorn <code>--max-requests</code>).<br><br><i>Source: Memory Management &amp; Garbage Collection</i>",phase-1 memory garbage-collection fundamentals topic-memory-management diff-hard
Q1: Explain SOLID in one sentence each.,"• <b>S</b>RP: One reason to change per class. • <b>O</b>CP: Add behavior by writing new code, not editing old code. • <b>L</b>SP: Subtypes must honor the base type's contract. • <b>I</b>SP: Many small interfaces beat one fat interface. • <b>D</b>IP: Depend on abstractions, not concrete classes.<br><br><i>Source: OOP &amp; SOLID</i>",phase-1 oop solid fundamentals topic-oop-solid diff-medium
Q2: Composition vs inheritance — when do you use each?,"Use <b>inheritance</b> for true <i>is-a</i> relationships where the subclass honors the parent's full contract (Liskov-safe). Use <b>composition</b> (HAS-A) for everything else: behavior reuse, mix-in features, swappable strategies. Modern guidance: prefer composition by default; reach for inheritance only when polymorphism through a base type genuinely simplifies callers. Inheritance creates tight coupling — you can't change the parent without breaking children.<br><br><i>Source: OOP &amp; SOLID</i>",phase-1 oop solid fundamentals topic-oop-solid diff-medium
Q3: Give a real LSP violation you've seen.,"Common one: a <code>ReadOnlyList</code> subclass of <code>List</code> that throws on <code>append</code>. Anywhere code does <code>list.append(x)</code> expecting it to work, passing a <code>ReadOnlyList</code> breaks the contract — LSP violated. Fix: don't subclass; model <code>ReadOnly</code> and <code>Mutable</code> as separate types or use composition.<br><br><i>Source: OOP &amp; SOLID</i>",phase-1 oop solid fundamentals topic-oop-solid diff-medium
Q4: How does Python's duck typing relate to ISP and DIP?,"Duck typing makes ISP and DIP cheap: you don't need to declare formal interfaces. Any object with the right methods works. The downside: contracts are implicit. <code>typing.Protocol</code> (PEP 544) gives you the best of both — structural typing with type-checker-enforced contracts, no explicit <code>implements</code> clause needed.<br><br><i>Source: OOP &amp; SOLID</i>",phase-1 oop solid fundamentals topic-oop-solid diff-medium
Q5: Encapsulation in Python without `private` keywords?,"Convention + <code>_underscore</code> (private by convention), <code>__double_underscore</code> (name-mangled), <code>@property</code> for read-only or computed access. Python trusts the developer (""we're all consenting adults"") rather than enforcing access at the language level. Use <code>@dataclass(frozen=True)</code> for immutable records.<br><br><i>Source: OOP &amp; SOLID</i>",phase-1 oop solid fundamentals topic-oop-solid diff-medium
Q1: TDD vs writing tests after — practical view?,"TDD (red → green → refactor) helps when you don't know the design yet — writing the test first forces you to design from the consumer's perspective. After-tests are fine when the design is obvious. The bigger win is <i>having tests at all</i> and writing them at the <i>right grain</i> (mostly unit, some integration). Whether they come before or after is less important than that they exist.<br><br><i>Source: Testing Frameworks</i>",phase-1 testing pytest fundamentals topic-testing-frameworks diff-medium
Q2: When do you mock vs use a real dependency?,"Mock external systems (3rd-party APIs, paid services). Use real for things you own (your DB in integration tests, an in-memory fake of your DB in unit tests). Rule of thumb: mock at <i>system boundaries</i>, not internal interfaces. Mocking your own internal functions usually means tests are coupled to implementation.<br><br><i>Source: Testing Frameworks</i>",phase-1 testing pytest fundamentals topic-testing-frameworks diff-medium
Q3: Why is `pytest.fixture(scope='session')` faster but riskier?,"Session-scoped fixtures are created once per pytest run, shared across all tests. Avoids repeated setup (e.g., DB connection). Risk: if a test mutates the fixture, later tests see the mutation — order dependence creeps in. Use session scope for <i>immutable</i> expensive resources; function scope for anything tests touch.<br><br><i>Source: Testing Frameworks</i>",phase-1 testing pytest fundamentals topic-testing-frameworks diff-medium
Q4: Coverage doesn't measure quality — what does?,"Mutation testing (<code>mutmut</code>, <code>cosmic-ray</code>) — flips operators, deletes branches, runs tests. Surviving mutants = tests didn't catch the change = weak tests. Code review of tests. Asking ""would this test fail if I broke X?"" The discipline of test-first development. Coverage is a smoke detector, not a quality measure.<br><br><i>Source: Testing Frameworks</i>",phase-1 testing pytest fundamentals topic-testing-frameworks diff-medium
Q5: How would you test a function that depends on the current time?,Inject a clock: <code>def func(now=time.time)</code> — pass a stub in tests. Or use <code>freezegun</code> / <code>time-machine</code> to monkey-patch the clock for the test's duration. Worst option: <code>time.sleep</code> in tests to wait for transitions — slow and flaky.<br><br><i>Source: Testing Frameworks</i>,phase-1 testing pytest fundamentals topic-testing-frameworks diff-medium
Q6: How do you make a flaky test reliable?,"Find the source of flakiness: (1) Order-dependence — isolate fixtures. (2) Timing — replace <code>sleep</code> with explicit synchronization (events, polling with timeout). (3) Randomness — seed it. (4) External services — replace with fake. (5) Concurrency races — actually fix the race. Quarantining flaky tests is a temporary hack; fix the root cause.<br><br><i>Source: Testing Frameworks</i>",phase-1 testing pytest fundamentals topic-testing-frameworks diff-medium
